Date,CPI,b_trade,xchange_rate
2019-06-01,196.00104249999998,3935.59648539,3.85882631578947
2019-07-01,195.28202500000003,681.35226574499,3.77933913043478
2019-08-01,185.03326750000002,1504.287929545,4.01998181818182
2019-09-01,186.37401749999998,2393.63931383,4.1215
2019-11-01,204.46187749999999,2102.17845266,4.155345
2019-12-01,203.94992000000002,4733.960641105,4.10959047619048
2020-01-01,195.74353250000001,337.70141723000006,4.88763181818182
2020-02-01,188.62427,931.514222804999,4.34101111111111
2020-03-01,176.5401525,2297.09398222,4.88385454545455
2020-04-01,168.94428,4890.867149835,5.32558
2020-05-01,174.87358,3239.270332255,5.643445
2020-06-01,180.5401425,6109.393631325,5.1966
2020-07-01,180.7522525,6895.860813995,5.2802
2020-08-01,181.4381475,5226.237684065,5.4612
2020-09-01,193.03011499999997,4740.95379517,5.3995
2020-11-01,210.9918,2121.398938785,5.4178
2020-12-01,220.243255,-1464.4042341,5.1456
2021-01-01,246.7672,-291.5121369625,5.4481
2021-02-01,254.736375,28.2426006299975,5.4165
2021-03-01,258.75291749999997,-158.362655065001,5.6461
2021-04-01,273.5545975,9337.690778875,5.5621
2021-05-01,296.9616525,8132.768122175,5.2911
2021-06-01,287.2303225,8146.512333305,5.0319
2021-07-01,280.18575,6843.98661944001,5.1567
2021-08-01,269.31528,6155.44619039,5.2517
2021-09-01,256.879995,2947.90623334,5.2797
2021-11-01,260.3366525,-1760.31840497,5.5569
2021-12-01,268.10684,3221.267738425,5.6514
2022-01-01,284.45212749999996,867.9754441875056,5.3922
2022-02-01,309.6765675,4044.238409445,5.1966
2022-03-01,334.4772475,6681.21683354,4.9684
2022-04-01,335.3967725,7522.66270552,4.758
2022-05-01,335.27750000000003,4269.290502565,4.9551
2022-06-01,333.62473750000004,8032.646856075,5.0492
2022-07-01,310.95572000000004,4623.974790815,5.3681
2022-08-01,304.6186675,3237.79892760999,5.1433
2022-09-01,296.2405125,2548.378318485,5.237
2022-11-01,291.45736750000003,5299.92540247,5.2747
2022-12-01,283.84520999999995,3525.74096752,5.2424
2023-01-01,287.6064175,5124.4043504675,5.13275
2023-02-01,289.2706175,2838.286124495,5.1717
2023-03-01,286.9049325,10014.49565027,5.2115
2023-04-01,292.1133175,8126.56649209,5.0197
2023-05-01,272.8860375,10264.75887383,4.9828
2023-06-01,273.8634425,9298.76705625,4.8516
2023-07-01,271.52689499999997,7586.15315931,4.8008
2023-08-01,254.0988375,8840.25128795,4.9035
2023-09-01,255.80419,8476.152366105,4.937
2023-11-01,251.3373,7999.4390819,4.8983
2023-12-01,245.88084,8581.79815271,4.8972
2024-01-01,237.2101925,4375.6,5.2692499999999995
2024-02-01,233.3325625,4386.7,4.9644
2024-03-01,239.71257500000002,6352.1,4.9801
2024-04-01,244.44687249999998,7798.3,5.1291
2024-05-01,250.02366750000002,7503.1,5.133
2024-06-01,242.03789,5661.2,5.389
2024-07-01,235.80322,6981.5,5.542
2024-08-01,220.8171425,3717.8,5.5526
2024-09-01,224.82837,4524.5,5.5416
2024-11-01,227.2157675,6043.0,5.8071
2024-12-01,228.18866,4121.9,6.097
2025-01-01,238.0470825,1377.6,5.70365
2025-02-01,240.89137499999998,-1143.0,5.7656
2025-03-01,235.06218,7156.2,5.7468
2025-04-01,238.51113249999997,6905.8,5.7837
2025-05-01,237.1214625,6383.5,5.6674
2025-06-01,236.68760000000003,5087.9,5.5471
2025-07-01,235.4547725,6215.4,5.5285
2025-08-01,233.14540499999998,5197.6,5.4469
2025-09-01,235.449475,2324.1,5.3674
